drug,description
Aspirin,"Aspirin (acetylsalicylic acid) is a nonsteroidal anti-inflammatory drug (NSAID) used to reduce pain, fever, and inflammation. It also has antiplatelet effects and is commonly used for cardiovascular protection. Dosage: Pain/Fever: 325-650 mg every 4-6 hours as needed (maximum 4000 mg/day); Cardiovascular protection: 81-325 mg once daily. Common side effects include stomach upset, heartburn, nausea, and increased bleeding risk. Drug interactions: Warfarin and other blood thinners (increased bleeding risk), other NSAIDs (increased side effects), alcohol (increased stomach bleeding risk). Storage: room temperature (20-25°C or 68-77°F) away from moisture and light."
Ibuprofen,"Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID) used to treat pain, fever, and inflammation. It works by reducing hormones that cause inflammation and pain in the body. Dosage: Adults: 200-400 mg every 4-6 hours as needed (maximum 3200 mg/day for prescription strength); Children: Dosing based on weight (typically 5-10 mg/kg every 6-8 hours). Common side effects: upset stomach, nausea, dizziness, headache. Serious side effects: stomach bleeding, increased blood pressure, kidney problems, heart attack/stroke risk with long-term use. Drug interactions: blood thinners (warfarin, aspirin), other NSAIDs, ACE inhibitors, diuretics, lithium. Storage: room temperature away from moisture and heat."
Insulin,"Insulin is a hormone medication used to control blood sugar levels in people with diabetes. It helps glucose from food enter cells for energy. Types include rapid-acting, short-acting, intermediate-acting, and long-acting insulin. Dosage is highly individualized based on blood glucose levels, meals, and activity. Common side effects: hypoglycemia (low blood sugar), weight gain, injection site reactions, lipodystrophy. Serious side effects: severe hypoglycemia, hypokalemia (low potassium), allergic reactions. Drug interactions: beta-blockers (mask hypoglycemia symptoms), ACE inhibitors (may increase hypoglycemia risk), corticosteroids (increase blood sugar). Storage: CRITICAL - Refrigerate unused insulin at 36-46°F (2-8°C). Do not freeze. Opened vials/pens can be kept at room temperature for 28 days."
Warfarin,"Warfarin is an anticoagulant (blood thinner) used to prevent blood clots in conditions like atrial fibrillation, deep vein thrombosis, and pulmonary embolism. Dosage is highly individualized based on INR (International Normalized Ratio) monitoring, typically 2-10 mg daily. Common side effects: bleeding, bruising easily, nausea, loss of appetite. Serious side effects: severe bleeding (internal or external), purple toe syndrome, skin necrosis. Many drug interactions including: antibiotics, NSAIDs (aspirin, ibuprofen), acetaminophen, antifungals, other anticoagulants. Food interactions: Vitamin K-rich foods (leafy greens, broccoli) affect warfarin levels. Storage: room temperature in tightly closed container, protect from light and moisture."
Metformin,"Metformin is an oral diabetes medication (biguanide class) that helps control blood sugar levels in type 2 diabetes. It works by decreasing glucose production in the liver and improving insulin sensitivity. Dosage: Initial: 500 mg twice daily or 850 mg once daily with meals; Maintenance: 1000-2000 mg daily in divided doses (maximum 2550 mg/day). Common side effects: nausea, diarrhea, stomach upset, metallic taste. Usually improve over time. Serious side effects: lactic acidosis (rare but serious), vitamin B12 deficiency with long-term use. Drug interactions: contrast dyes (hold metformin before imaging), alcohol (increased lactic acidosis risk), diuretics, steroids. Storage: room temperature away from moisture and heat."
Lisinopril,"Lisinopril is an ACE inhibitor used to treat high blood pressure (hypertension) and heart failure, and to improve survival after heart attack. It works by relaxing blood vessels. Dosage: Hypertension: Initial 10 mg once daily, maintenance 20-40 mg daily; Heart failure: Initial 5 mg once daily, target 20-40 mg daily. Common side effects: dry cough (most common), dizziness, headache, fatigue, low blood pressure. Serious side effects: angioedema (swelling of face/throat), hyperkalemia (high potassium), kidney problems, severe hypotension. Drug interactions: potassium supplements or salt substitutes (hyperkalemia risk), NSAIDs (reduced effectiveness, kidney problems), lithium (increased lithium levels). Storage: room temperature away from moisture."
Levothyroxine,"Levothyroxine is a synthetic thyroid hormone used to treat hypothyroidism (underactive thyroid). It replaces or provides thyroid hormone that is normally produced by the thyroid gland. Dosage is highly individualized based on TSH levels, typically 25-200 mcg once daily. Take on empty stomach 30-60 minutes before breakfast. Common side effects (usually from too high dose): weight loss, tremors, nervousness, increased appetite, insomnia, heat intolerance. Serious side effects: chest pain, irregular heartbeat, excessive sweating, bone loss with long-term over-treatment. Drug interactions: calcium and iron supplements (take 4 hours apart), antacids, soy products, high-fiber foods, proton pump inhibitors (reduce absorption). Storage: room temperature in tightly closed, light-resistant container."
Atorvastatin,"Atorvastatin is a statin medication used to lower cholesterol and reduce cardiovascular risk. It works by inhibiting HMG-CoA reductase, an enzyme needed for cholesterol production. Dosage: Initial: 10-20 mg once daily; High-intensity: 40-80 mg once daily; can be taken with or without food. Common side effects: muscle pain or weakness, headache, nausea, diarrhea, joint pain. Serious side effects: rhabdomyolysis (muscle breakdown), liver damage, increased blood sugar, memory problems. Drug interactions: grapefruit juice (increases statin levels), gemfibrozil and other fibrates (increased myopathy risk), certain antibiotics, antifungals, cyclosporine. Storage: room temperature away from moisture and heat."
Omeprazole,"Omeprazole is a proton pump inhibitor (PPI) used to treat gastroesophageal reflux disease (GERD), stomach ulcers, and conditions that cause excess stomach acid. It reduces acid production in the stomach. Dosage: GERD: 20 mg once daily for 4-8 weeks; Ulcers: 20-40 mg once daily; Take 30-60 minutes before a meal, preferably in the morning. Common side effects: headache, nausea, diarrhea, stomach pain, gas. Serious side effects (with long-term use): vitamin B12 deficiency, magnesium deficiency, increased bone fracture risk, kidney problems, C. difficile infection. Drug interactions: clopidogrel (reduced effectiveness), digoxin, certain antifungals, methotrexate. Storage: room temperature in tightly closed container, protect from moisture."
Amoxicillin,"Amoxicillin is a penicillin-type antibiotic used to treat bacterial infections including respiratory infections, ear infections, urinary tract infections, and skin infections. Dosage varies by infection: typically 250-500 mg every 8 hours or 500-875 mg every 12 hours for 7-14 days. Common side effects: nausea, vomiting, diarrhea, rash, yeast infections. Serious side effects: severe allergic reactions (anaphylaxis), C. difficile-associated diarrhea, liver problems. Drug interactions: birth control pills (may reduce effectiveness), methotrexate, allopurinol (increased rash risk), warfarin (increased bleeding risk). Storage: room temperature; liquid suspension should be refrigerated and discarded after 14 days."
